MUNICIPIO,departamento,SUPERFICIE SEMBRADA (Mz),SUPERFICIE COSECHADA PARA GRANO Y SEMILLA (Mz),PRODUCCIÓN PARA GRANO Y SEMILLA (QQ),ANIO,ORIGEN_DATOS,shape_leng,shape_area,gid
SAN LUIS DEL CARMEN,CHALATENANGO,18.79,18.79,232,2179,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.1929902913790,0.001747083884660,25
METAPAN,SANTA ANA,4644.07,4362.52,51043,2106,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.3490111467100,0.057931547196500,26
SAN ANTONIO PAJONAL,SANTA ANA,172.02,166.88,2231,2144,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3909940771170,0.004290508035960,27
SANTIAGO DE LA FRONTERA,SANTA ANA,593.85,585.42,8616,2216,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2437437830140,0.003430180720020,28
SANTA ROSA GUACHIPILIN,SANTA ANA,685.97,675.59,8689,2214,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3849077521260,0.004267739883500,29
MASAHUAT,SANTA ANA,485.59,444.40,5554,2100,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.3325178545940,0.004358041724590,30
TEXISTEPEQUE,SANTA ANA,539.52,514.35,6308,2243,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7579299725090,0.014057124001300,31
CANDELARIA DE LA FRONTERA,SANTA ANA,1587.30,1555.21,20601,2018,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.5649130145920,0.008422705191810,32
SANTA ANA,SANTA ANA,3831.76,3785.40,41842,2203,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,1.3090799981200,0.034092374344400,33
COATEPEQUE,SANTA ANA,188.99,188.99,2540,2031,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.7457366391510,0.011709601186300,34
EL PORVENIR,SANTA ANA,1042.71,981.85,11812,2057,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2952365597460,0.004042008665850,35
SAN SEBASTIAN SALITRILLO,SANTA ANA,140.12,116.94,1550,2200,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.2071399223860,0.001558253572980,36
CHALCHUAPA,SANTA ANA,3121.82,2986.84,36421,2021,iv Censo Agropecuario 2007-2008 Resultados departamentales y municipales,0.8891557411970,0.015327155909800,37
